日期,销量
2020-01-01,535
2020-01-02,522
2020-01-03,516
2020-01-04,561
2020-01-05,555
2020-01-06,562
2020-01-07,546
2020-01-08,568
2020-01-09,588
2020-01-10,588
2020-01-11,591
2020-01-12,577
2020-01-13,596
2020-01-14,575
2020-01-15,613
2020-01-16,601
2020-01-17,602
2020-01-18,594
2020-01-19,633
2020-01-20,632
2020-01-21,615
2020-01-22,629
2020-01-23,646
2020-01-24,627
2020-01-25,636
2020-01-26,672
2020-01-27,674
2020-01-28,664
2020-01-29,675
2020-01-30,665
2020-01-31,692
2020-02-01,678
2020-02-02,700
2020-02-03,671
2020-02-04,691
2020-02-05,724
2020-02-06,715
2020-02-07,691
2020-02-08,736
2020-02-09,739
2020-02-10,748
2020-02-11,713
2020-02-12,755
2020-02-13,756
2020-02-14,751
2020-02-15,750
2020-02-16,770
2020-02-17,747
2020-02-18,758
2020-02-19,768
2020-02-20,787
2020-02-21,775
2020-02-22,784
2020-02-23,814
2020-02-24,787
2020-02-25,807
2020-02-26,789
2020-02-27,814
2020-02-28,836
2020-02-29,815
2020-03-01,821
2020-03-02,816
2020-03-03,827
2020-03-04,864
2020-03-05,853
2020-03-06,843
2020-03-07,835
2020-03-08,861
2020-03-09,880
2020-03-10,853
2020-03-11,895
2020-03-12,879
2020-03-13,871
2020-03-14,885
2020-03-15,917
2020-03-16,904
2020-03-17,908
2020-03-18,892
2020-03-19,926
2020-03-20,915
2020-03-21,945
2020-03-22,938
2020-03-23,922
2020-03-24,948
2020-03-25,940
2020-03-26,967
2020-03-27,960
2020-03-28,950
2020-03-29,947
2020-03-30,965
2020-03-31,970
2020-04-01,985
2020-04-02,980
2020-04-03,979
2020-04-04,991
2020-04-05,1008
2020-04-06,1013
2020-04-07,1000
2020-04-08,1019
2020-04-09,1044
